callType,numberPhone,start,end
02,76166297480,20230523210858,20230523211554
02,74571383478,20230502213006,20230502223534
02,76728068721,20230531091834,20230531093227
02,76042521011,20230504170835,20230504185138
01,71945668145,20230518130825,20230518135933
02,73802903831,20230503063336,20230503072657
01,78254121602,20230502165748,20230502175604
01,77063953377,20230520144251,20230520171047
01,75035272232,20230504185157,20230504190915
02,77943198646,20230514125256,20230514142420
02,75279494006,20230503164709,20230503190810
02,73547644898,20230512022455,20230512030048
02,79281120199,20230528234429,20230529010420
02,71281952311,20230517030912,20230517032136
01,73036625352,20230511061332,20230511081506
02,79921801270,20230521020227,20230521035700
01,73621223640,20230514164754,20230514171133
02,77378792406,20230516232800,20230517022452
01,73046122424,20230516202247,20230516230425
01,79628804786,20230514200713,20230514214816
02,77378792406,20230511115139,20230511132633
01,71682203440,20230516155856,20230516180134
02,79624915801,20230529163357,20230529175309
02,75863349982,20230520192933,20230520221121
01,73536773606,20230503074850,20230503085012
02,76973200767,20230506015253,20230506031838
01,78202621176,20230505155702,20230505172223
01,73134073423,20230501063822,20230501080203
02,79328308676,20230510134255,20230510161154
01,76161180677,20230510092908,20230510111827
02,74196652796,20230502202932,20230502223755
01,75452983616,20230502071329,20230502085121
02,71285700831,20230512003703,20230512030808
02,79898238993,20230526020849,20230526050125
01,76301035425,20230524173510,20230524182758
02,71948704003,20230529110024,20230529134505
02,77309157800,20230515115520,20230515125012
01,72097558218,20230518193032,20230518222105
01,72703931517,20230520123323,20230520132635
01,75417856261,20230504160842,20230504180421
02,71603334393,20230509130818,20230509131230
01,77974655127,20230522200230,20230522203015
02,78954430622,20230526005031,20230526030909
02,76046476325,20230525221019,20230525223115
02,73979167760,20230513104257,20230513134248
01,77916194253,20230524171427,20230524173508
02,77812094020,20230506111702,20230506123507
01,79921801270,20230509002736,20230509010104
01,74563629313,20230512023226,20230512030729
01,71878032924,20230503194607,20230503195640
02,74498841869,20230520153158,20230520181718
01,79259997139,20230518033036,20230518052926
02,78074274630,20230502214237,20230503000210
01,74642840928,20230506133512,20230506160306
01,75466068477,20230506010708,20230506020515
01,77363047316,20230508065215,20230508072429
02,78438431975,20230531214135,20230531220615
01,71546722640,20230526112701,20230526133451
02,78831164190,20230509120704,20230509130016
02,76684435787,20230515022548,20230515042351
02,74878355771,20230531044603,20230531050759
02,71886900639,20230509081506,20230509093917
02,74639482790,20230531222744,20230531225625
01,75403580348,20230529123242,20230529151438
01,77306147467,20230505170411,20230505182546
02,78751155960,20230515100947,20230515130915
01,76285129606,20230501011432,20230501013643
01,75262331423,20230522194832,20230522195405
01,74952514465,20230512031709,20230512032143
01,73972407040,20230509195247,20230509203136
01,78585258851,20230530025428,20230530035902
02,77377905367,20230523204546,20230523225911
01,71967812694,20230521024619,20230521041648
02,79346128125,20230507194618,20230507203710
02,73934254914,20230523051525,20230523071029
01,71832834350,20230513131429,20230513155731
02,72595285293,20230528012731,20230528025254
01,71546722640,20230519051958,20230519064613
01,75648273304,20230517064956,20230517091553
01,73288747033,20230515134420,20230515142519
01,73934254914,20230530142832,20230530162347
02,79439493662,20230519234238,20230520005211
01,73666573496,20230518023923,20230518032717
01,72384038355,20230513072131,20230513075134
02,79714413298,20230509082107,20230509085431
02,77843120904,20230521015307,20230521031635
01,79775738006,20230514164519,20230514171150
02,78959314187,20230527181707,20230527193240
01,74889680134,20230522011704,20230522031441
02,79284129322,20230521052621,20230521064752
02,75226005250,20230521034122,20230521054226
01,75204915344,20230517093839,20230517111928
01,73972879689,20230511191119,20230511202847
02,77238809848,20230514194440,20230514203525
01,75186071967,20230505154121,20230505161312
02,73732864607,20230501072605,20230501101524
02,73818171028,20230502025700,20230502034125
02,75198541714,20230515145851,20230515150524
02,77961488033,20230525153100,20230525164208
01,76335650325,20230502140045,20230502152017
01,72668898792,20230507133413,20230507145410
02,79715134269,20230512081822,20230512110950
01,78106186041,20230525120507,20230525144302
01,76268156374,20230525053247,20230525055247
01,78011650064,20230508102137,20230508112443
02,76294581797,20230505180316,20230505182042
01,74928326374,20230531084125,20230531105946
02,77908712196,20230512033354,20230512044627
01,79907628059,20230515124525,20230515125430
02,77617776718,20230527190012,20230527195419
01,72347067403,20230511155546,20230511165757
01,79075522046,20230505075200,20230505084758
01,71291490155,20230528045517,20230528072050
01,75417856261,20230505205440,20230505223527
01,72721310109,20230520012552,20230520024235
02,77201342455,20230521173403,20230521180133
01,71998178511,20230521024151,20230521024942
01,78212769494,20230517072238,20230517093406
02,71175482653,20230515132707,20230515153158
01,72536737491,20230524192627,20230524212059
02,72804302697,20230519085813,20230519113427
01,71939708226,20230519014327,20230519044107
01,74889680134,20230503145344,20230503171041
02,76332094793,20230527230527,20230527233632
02,73781920701,20230526094705,20230526110828
01,79921251756,20230529184506,20230529195951
01,73771504935,20230530163606,20230530180404
01,74576714592,20230504042342,20230504060001
02,78413927053,20230519060259,20230519082413
02,74074354663,20230520021810,20230520024339
02,79555695567,20230514071613,20230514072107
02,74353221058,20230506210413,20230506225258
02,76133045219,20230514035921,20230514061850
01,74267570338,20230511210222,20230511211642
01,75223665666,20230523232250,20230524011954
02,76605949257,20230501181938,20230501200929
02,75648273304,20230501033632,20230501054051
02,72888624431,20230512140644,20230512161127
01,77538378640,20230514225044,20230515013938
01,78585258851,20230522115720,20230522133422
01,72357872406,20230512062640,20230512085851
02,77142986742,20230513224023,20230513230328
01,75792103348,20230511220048,20230512003932
02,77274561998,20230527124210,20230527143239
02,78316035342,20230511193831,20230511221533
01,73772422158,20230519235417,20230520011217
02,74313585134,20230521173939,20230521174705
01,75679817845,20230502003347,20230502025712
01,79775738006,20230519172437,20230519184823
02,79921801270,20230505184202,20230505193429
02,73059308411,20230530031157,20230530045537
01,71855285105,20230525233230,20230526012615
01,77633644670,20230506153104,20230506172212
01,73576725310,20230504113452,20230504125108
01,73403994059,20230517203750,20230517223309
01,74571383478,20230516200732,20230516203401
01,78594343222,20230516054025,20230516062941
02,76739622691,20230510172755,20230510185626
02,77142986742,20230531144109,20230531165642
01,71275510240,20230523091922,20230523093852
02,79228123485,20230525141333,20230525163748
01,73623967362,20230506182705,20230506184924
01,75842888851,20230522103353,20230522115507
02,78134725398,20230522041409,20230522045147
01,78059263879,20230501014100,20230501022526
01,76369842982,20230516022340,20230516033406
01,75227542722,20230527095344,20230527120342
01,75417856261,20230514030023,20230514041822
02,71886900639,20230522052552,20230522062253
02,78413927053,20230514051030,20230514060117
01,76348668229,20230507223325,20230507232343
02,73979167760,20230506005347,20230506011111
01,76198156696,20230520121546,20230520132004
01,71003834681,20230531145025,20230531175023
02,77691701039,20230512101952,20230512105447
02,74174752724,20230525024036,20230525032900
01,79347881625,20230504115628,20230504121407
01,74513106472,20230525185053,20230525200255
01,79259804335,20230528102156,20230528115323
01,71091538844,20230503154051,20230503180901
01,76267221337,20230526144819,20230526170310
02,72511051868,20230529000306,20230529014236
01,79622231111,20230502200505,20230502214333
02,72213618678,20230504225205,20230504235029
02,78304173049,20230531124946,20230531135224
02,72328075739,20230516015856,20230516020410
02,72347067403,20230504014211,20230504030527
01,75748761836,20230523032716,20230523062247
02,77306147467,20230530052732,20230530075612
01,77972418320,20230509055806,20230509070459
01,72841057630,20230505190908,20230505203029
02,72536737491,20230502041826,20230502043955
01,78264218082,20230530050449,20230530053600
02,73576725310,20230522082910,20230522083454
01,73087356069,20230529100337,20230529103511
01,78395050029,20230515153026,20230515162840
01,78828267251,20230516193315,20230516215025
02,74864734952,20230529112408,20230529122932
01,74715299052,20230507033618,20230507054817
02,75843285631,20230503135626,20230503164212
01,71615713799,20230501060134,20230501083813
01,75373091389,20230504214706,20230504223350
02,73149990813,20230520225841,20230520230706
02,78814887970,20230515083928,20230515095110
01,73036625352,20230503162203,20230503180838
02,78423103014,20230518124030,20230518145013
01,72108395929,20230501073925,20230501094949
02,76754973675,20230511180934,20230511190809
02,79248135094,20230523081618,20230523110930
01,75452983616,20230519095223,20230519100018
02,76738350567,20230503123605,20230503134242
02,72328075739,20230531191234,20230531193508
02,78629586483,20230521000007,20230521015650
02,75636208388,20230530234225,20230531010823
02,76901240235,20230521003627,20230521022620
02,78033239724,20230505011247,20230505021122
01,77377905367,20230510185457,20230510213943
01,79833248607,20230524183400,20230524211946
01,72665053436,20230507192642,20230507214431
01,73301371778,20230520062717,20230520090254
01,72628662029,20230518144726,20230518171202
01,79537470138,20230508055914,20230508060646
02,73643719961,20230501202201,20230501203048
01,78074274630,20230506172909,20230506183905
02,71971991436,20230505075225,20230505104838
01,78686128637,20230518130212,20230518135153
02,71003834681,20230515153050,20230515164054
02,72632752188,20230504041827,20230504053139
02,75756021087,20230523051746,20230523055442
02,75751678656,20230527232025,20230528004950
01,75186071967,20230509021917,20230509033551
02,76658580726,20230504092741,20230504095747
02,73148072536,20230506063500,20230506065709
01,75489399094,20230528093410,20230528111253
01,74462966742,20230510023412,20230510023418
02,76324390703,20230503184548,20230503200634
02,77708033061,20230530013228,20230530033352
02,77184944770,20230504143555,20230504164331
02,75487718131,20230525101756,20230525103159
01,76118846960,20230515203317,20230515223334
01,72202491853,20230516134852,20230516164032
01,79281120199,20230529025246,20230529053557
01,75636208388,20230512233814,20230513011503
01,71327364225,20230513144943,20230513152545
02,79422404957,20230508102557,20230508120708
02,78031847052,20230516163128,20230516180240
01,73217587509,20230501140927,20230501150724
02,74926230420,20230519153536,20230519183408
01,76298240074,20230511125116,20230511153131
01,79711161558,20230527090117,20230527092028
01,76235302384,20230521022342,20230521050318
02,77422328142,20230523174434,20230523184801
01,78233759896,20230522135558,20230522155932
01,74433899350,20230502235616,20230503010651
02,71603334393,20230522180739,20230522183845
02,77474010838,20230526151733,20230526173350
02,71541557180,20230523231337,20230524015919
01,73821292688,20230521034552,20230521044353
02,79622231111,20230504205700,20230504221004
02,72148441021,20230517010014,20230517014402
02,71071380476,20230522093137,20230522114344
02,73099962502,20230519014351,20230519040702
01,77421305726,20230513140231,20230513161533
01,79259804335,20230523091024,20230523101423
01,74639482790,20230531172451,20230531183733
01,77938677705,20230520162837,20230520165847
02,77451176486,20230509081025,20230509104025
02,72018948402,20230509081318,20230509091031
02,74469387523,20230527090702,20230527112039
01,78074274630,20230521125939,20230521155636
02,73175623240,20230527225942,20230528015837
02,75826426593,20230514032120,20230514060407
02,79892053094,20230529222033,20230529230749
02,78594343222,20230515085254,20230515110723
02,76929261541,20230504181536,20230504202707
02,78762998936,20230508095703,20230508102640
01,72574050298,20230511112302,20230511134857
02,77568834625,20230513103119,20230513110008
01,71879411133,20230527015417,20230527041929
02,78272928323,20230514020152,20230514032053
01,72627778789,20230507123041,20230507131224
01,71458730635,20230522034409,20230522041842
01,72703931517,20230502204115,20230502222621
02,77574399278,20230507195648,20230507215037
02,71426263194,20230521164008,20230521180919
01,73821292688,20230518202253,20230518202912
01,79348540035,20230502091759,20230502092351
01,79281120199,20230529075905,20230529091602
02,74571383478,20230504061810,20230504084811
01,73618207677,20230505001406,20230505003608
01,78435364043,20230507032256,20230507042245
01,74462925352,20230502105612,20230502125930
02,73934254914,20230531140428,20230531160811
01,77987449518,20230530072314,20230530084430
01,78119528005,20230516224313,20230516230023
01,74786128110,20230508222327,20230508222645
02,79422404957,20230517152027,20230517163340
02,77438273526,20230505015007,20230505015246
02,78033239724,20230519213049,20230519213236
02,72464072658,20230510054426,20230510082303
02,77263437807,20230509003856,20230509030641
02,73771504935,20230515000839,20230515005747
02,75584144600,20230504090735,20230504115107
02,73944728593,20230520020428,20230520044825
02,77276767626,20230511055443,20230511073707
02,73253802879,20230517062234,20230517065738
01,76534353651,20230513234632,20230514000319
02,78328247251,20230502014042,20230502022517
01,79375650675,20230516060418,20230516082028
01,75622023520,20230530100104,20230530122625
01,77142986742,20230506073448,20230506082653
01,72097558218,20230514211327,20230514214921
02,79195431253,20230513040901,20230513051359
01,73288747033,20230514111946,20230514141811
01,76148606622,20230525122615,20230525132734
02,71758811694,20230514212705,20230514213036
01,74716963835,20230504084706,20230504094603
01,74043617690,20230501093217,20230501115746
02,75636208388,20230514074739,20230514100012
